"PWS_ID","distkm"
6511361,48.8039133106002
6530617,42.786466260543
6521715,32.6352605183067
6290787,18.0420542670621
6532234,13.17090514114
6531992,13.0970859025368
6290327,12.5952127016381
6290388,11.1296232526395
6290323,10.8430757995293
6530315,9.66475434629802
6532348,9.56168045533634
6534609,7.94385806325025
6530852,7.31602489166743
6520336,6.59733098022089
6512020,6.23047369160965
6530090,6.10069317521816
3531744,5.72614845072914
6291791,4.48107378002222
6512200,4.22133697643959
6531742,4.18479964282361
6530485,4.05504289735019
6521784,3.69801443131637
6510424,3.21118534805811
6535304,2.87818544666889
6535707,2.75376929918933
6531237,2.44993214459535
6530098,2.31841555712323
6512064,2.1975877398342
3532183,2.04122378370811
6510325,1.94422773411938
6532232,1.88062513351027
6511360,1.62206584167978
6511311,1.48640461708205
6291597,1.39737484975152
6511745,1.10247099124015
6295390,1.02941026092272
6530692,1.00891284610076
6531424,0.823196232177011
6294850,0.704426997975155
6514838,0.69232573988357
6514120,0.691053887579775
6515161,0.654012968908718
6291018,0.579864316196175
6510620,0.577364939906039
6531957,0.566919150084038
6531305,0.554101296642083
6530627,0.513233191354973
6291418,0.507897811934278
6290116,0.484995197694874
6532711,0.464293174071623
6510403,0.458015036366103
6294733,0.44743909230694
6532347,0.435264746095094
6292850,0.411878165718823
6530431,0.393749027413232
6294881,0.337907936405358
6290430,0.323640947817133
6290728,0.316345499192411
6292849,0.252788278751055
6291864,0.219609931626125
6295275,0.209183197304503
6510461,0.196208110501449
6291280,0.190327203035554
6291445,0.164418519320252
6290590,0.160263609526333
6534054,0.159343744524834
6531222,0.143051295262225
6292846,0.112683187594758
6295376,0.103627587214022
6291139,0.0979059034566242
6531014,0.0963365128367948
6511859,0.0959453099658016
6291481,0.090210836430124
6510069,0.0584515848146632
6530995,0.0546108388554648
6290279,0.041639195098624
6510324,0.0414703638230121
6291810,0.0383656290384258
6530303,0.027353184725577
6293055,0.0205582982589593
6535113,0.00684188886256899
6290369,0
6290392,0
6290406,0
6290416,0
6290457,0
6290474,0
6290475,0
6290476,0
6290482,0
6290494,0
6290505,0
6290534,0
6290548,0
6290595,0
6290607,0
6290631,0
6290648,0
6290685,0
6290696,0
6290740,0
6290741,0
6291762,0
6291767,0
6291776,0
6291781,0
6291794,0
6292137,0
6292143,0
6292150,0
6292159,0
6292165,0
6292166,0
6292231,0
6292232,0
6292829,0
6292831,0
6292833,0
6292834,0
6292835,0
6292836,0
6292840,0
6292842,0
6292847,0
6292848,0
6292855,0
6292857,0
6292859,0
6292861,0
6292987,0
6292994,0
6292996,0
6292998,0
6293008,0
6293043,0
6293044,0
6293046,0
6293047,0
6293048,0
6293051,0
6296141,0
6296142,0
6296143,0
6296148,0
6296165,0
6296168,0
6296174,0
6296175,0
6296177,0
6296181,0
6296183,0
6296185,0
6296204,0
6296206,0
6296208,0
6296211,0
6296300,0
6296301,0
6296302,0
6296303,0
6296305,0
6296308,0
6296345,0
6296366,0
6296368,0
6296376,0
6296377,0
6296378,0
6296380,0
6296381,0
6296382,0
6296383,0
6296384,0
6296385,0
6296386,0
6412532,0
6412544,0
6412550,0
6515279,0
6531195,0
6531225,0
6531226,0
6531231,0
6531265,0
6531271,0
6531313,0
6531328,0
6531340,0
6531350,0
6531382,0
6531396,0
6531397,0
6531419,0
6531426,0
6531427,0
6531500,0
6531525,0
6531527,0
6531572,0
6531582,0
6531584,0
6531596,0
6531629,0
6531632,0
6531636,0
6531637,0
6532235,0
6532253,0
6532276,0
6532277,0
6532315,0
6532321,0
6532333,0
6532339,0
6532344,0
6532345,0
6532346,0
6532352,0
6532357,0
6532379,0
6532388,0
6532421,0
6532423,0
6532428,0
6532437,0
6532442,0
6532443,0
6532444,0
6532501,0
6532502,0
6535171,0
6535492,0
6535493,0
6535496,0
6535498,0
6535547,0
6535734,0
6535737,0
6535738,0
