"site","lat","lon"
"02309848",28.18544444,-82.5533611
"02309980",28.2216775,-82.63509859
"02310000",28.21417784,-82.6664882
"02310050",28.19417866,-82.71843379
"02310075",28.1744722,-82.7193056
"02310147",28.16251317,-82.710378
"02310175",28.15779109,-82.7564903
"02310207",28.1716792,-82.7848245
"02310238",28.3850022,-82.48787369
"02310240",28.38527998,-82.4892626
"02310280",28.329172,-82.5367636
"02310286",28.29413889,-82.5537222
"02310288",28.29488889,-82.5728333
"02310300",28.25731495,-82.6429044
"02310304",28.23751034,-82.693711
"02311000",28.27139707,-82.0978598
"02310307",28.24028806,-82.7198227
"02310308",28.2502877,-82.7226006
"02310310",28.26973116,-82.7264897
"02310356",28.33092778,-82.6732611
"02310360",28.33428056,-82.6847222
"02310525",28.51888454,-82.5823215
"02310530",28.52694444,-82.5977778
"02310545",28.5311063,-82.6231559
"02310551",28.53582834,-82.6314894
"02310650",28.71526419,-82.5767656
"02310673",28.70263889,-82.6247222
"02310674",28.69470935,-82.6389891
"02310689",28.8131111,-82.60563889
"02310690",28.80137159,-82.6026
"02310700",28.78526096,-82.6178779
"02310708",28.78192757,-82.6423228
"02310710",28.7747054,-82.6720455
"02310740",28.890535,-82.5956566
"02310742",28.8933611,-82.6055556
"02310750",28.90500349,-82.6351883
"02310752",28.90155556,-82.6458056
"02311500",28.3525042,-82.12591619
"02312000",28.4799981,-82.17758499
"02312180",28.5216647,-82.0548037
"02312200",28.57277286,-82.155363
"02312300",28.5211073,-82.209253
"02312500",28.5927714,-82.222032
"02312558",28.644436,-82.25703368
"02312598",28.7241557,-82.2423118
"02312600",28.74359973,-82.2200892
"02312635",28.6963808,-82.05480599
"02312640",28.6972136,-82.1039741
"02312645",28.70443503,-82.1570313
"02312667",28.77026704,-82.0636961
"02312675",28.8425,-82.1302778
"02312690",28.80943313,-81.9828609
"02312700",28.8002651,-82.1528658
"02312720",28.82331955,-82.1831448
"02312722",28.85192929,-82.2209241
"02312762",28.91220435,-82.2800934
"02312772",28.75415483,-82.2298118
"02312786",28.7469325,-82.2634238
"02312975",28.95553555,-82.3367621
"02312976",28.95553555,-82.3367621
"02313000",28.98886759,-82.3495406
"02313098",29.07130556,-82.4266111
"02313100",29.04942056,-82.44759948
"02313200",29.0460871,-82.4645443
"02313230",29.00997485,-82.6167699
"02313231",29.00997485,-82.6167699
"02313237",29.02525223,-82.61649239
"02313250",29.02108538,-82.6378818
"02313267",29.02163974,-82.7231618
"02313269",29.01163979,-82.7409398
"02313272",29.00110935,-82.7657876
"273126082384700",27.52388889,-82.64638889
"284152082375000",28.69804255,-82.6303778
"284254082362310",28.71526404,-82.6062107
"284617082414510",28.7716498,-82.695657
"285344082362800",28.89581247,-82.6076014
"285531082412600",28.92527778,-82.69063889
